"model","auc","f1","precision","recall"
"Model1",NA,0.037609634606385,0.0437362610961588,0.041744749443432
"Model2",NA,0.0380223732048266,0.0437916072165896,0.0426440149409416
"Model3",NA,0.0379279477892469,0.0440283963831066,0.0421961570208723
